slice,n_alerts,n_1d,hit_1d,mean_bps_1d,t_ev_1d,t_day_1d,n_3d,hit_3d,mean_bps_3d,t_ev_3d,t_day_3d,n_5d,hit_5d,mean_bps_5d,t_ev_5d,t_day_5d,H1_mean_3d,H1_n_3d,H2_mean_3d,H2_n_3d,up_mean_3d,up_n_3d,down_mean_3d,down_n_3d,H1_mean_5d,H1_n_5d,H2_mean_5d,H2_n_5d,up_mean_5d,up_n_5d,down_mean_5d,down_n_5d
bull all_opening,720,484,0.48140495867768596,37.119715100407035,1.7465733170444386,1.613390408082463,465,0.46881720430107526,6.657762360174429,0.20038077189913409,-0.24681396452906276,454,0.526431718061674,45.011883751661166,1.0812450350739404,0.43984217908968926,-45.483922531164254,265,75.74549484119818,200,32.43736455831344,234,-19.456639866511843,231,-20.590787120145166,265,136.9944646036648,189,61.8859745844576,235,26.904982629710666,219
bear all_opening,568,383,0.46475195822454307,-33.471922560713,-1.2014787491050665,-1.6936668830093475,370,0.5297297297297298,-27.08228848545161,-0.6340987586029909,-0.9420584095846016,365,0.4958904109589041,-12.456542886149425,-0.2263963182586992,-0.39172377519589197,-28.362426516762575,258,-24.133399091895992,112,-41.94168333038953,173,-14.033175245988353,197,-1.0166464013135579,258,-40.040592354258315,107,8.18808221509395,174,-31.263688266339724,191
bull dte 0-3,36650,7236,0.5016583747927031,10.024734976605579,1.619426797911352,0.30168001743166556,7107,0.49584916279724217,4.67844359757107,0.4458411584444863,0.21542161755668765,6987,0.5026477744382425,43.268346607175445,3.34250455795924,1.368913192145673,20.249596397892777,3764,-12.960200788081721,3352,37.97232131509767,3964,-37.31230768218566,3143,40.30658007523536,3764,46.53322186562004,3232,87.24308233592922,4089,-18.77882192107644,2898
bear dte 0-3,36371,7566,0.49616706317737247,-13.063610901754835,-2.2356795592303724,-0.4691586069248769,7428,0.5001346257404415,-13.175079743793614,-1.305951051234376,-0.9113735691893826,7290,0.49876543209876545,-50.090825996825544,-4.014809398139413,-1.7616025896106242,-29.373629890258414,3919,4.766045608952293,3518,-49.8075705724746,4324,37.85549059873748,3104,-46.0697953565583,3919,-54.836261466995104,3380,-97.66747349323066,4446,24.285325469073562,2844
bull dte 4-14,48986,11467,0.48861951687450944,0.14246317495175953,0.02965035822586384,-0.6837736944592409,11001,0.48822834287792016,-4.538898315368097,-0.5516106262240998,-1.2479012888430991,10540,0.4889943074003795,5.7147125284887235,0.5402600801838275,-0.8562093479254571,15.863121625005986,5820,-26.6352736605037,5270,30.169734546409508,6354,-51.99718391978707,4647,26.97801916703205,5820,-14.856563426297999,4809,55.971016340220174,6277,-68.28454128953577,4263
bear dte 4-14,48691,11944,0.5099631614199598,1.8105768009577639,0.39451227514096904,-0.8410829138014898,11383,0.5104981112184837,-0.971311400362247,-0.12286446298369062,-0.14438990716728592,10892,0.5098237238340066,-9.388399486137706,-0.9113195382190257,-0.6007638231611918,-10.695751354679834,6085,10.703228411484512,5403,-25.145936560281918,6398,30.055619747715188,4985,-22.79323503115462,6085,3.889293994614907,4912,-48.24267490953086,6318,44.28044881403671,4574
bull dte 15-45,63763,18444,0.4843851659076122,1.6497791744002925,0.4579886350241016,0.5723950549393552,17979,0.48261861060125705,-3.978136961332169,-0.6480753565581963,-0.009564529993930081,17335,0.48635708104989905,6.773168148760405,0.8626118084857133,0.5481848119402216,2.6653504900955585,9369,-12.12396916761226,8675,30.80283305956766,9885,-46.45526676817611,8094,7.100076201389825,9369,6.250687184704863,8031,57.61171142945578,9850,-60.12858887393155,7485
bear dte 15-45,61749,18801,0.5124727408116589,-1.0865948648593076,-0.3208096909274701,0.17594265409263507,18189,0.5174556050360107,6.245573974790898,1.0702840934568538,-0.01990698826097844,17467,0.5121085475468026,1.7564352129204719,0.23470820534109554,-0.6937411175122845,-6.6504502509209305,9620,20.825392253074085,8650,-21.66445834592043,9590,37.3721247313465,8599,-3.377808435614794,9620,7.139043259199405,7928,-42.03793799270904,9530,54.34058245364735,7937
bull dte 45+,89909,22475,0.4843159065628476,3.065149865007936,1.024791387898643,0.31413217068615296,21770,0.4821313734497014,4.170735264953239,0.8083597363681057,0.813852995480645,21007,0.4863616889608226,11.765696703423842,1.7681037850537826,0.5505089464970283,-4.681269221078242,10650,11.95963325767461,11251,30.6914506005987,12414,-31.01825150040618,9356,5.571526197249195,10650,19.076597073480137,10488,52.34735651588429,12405,-46.757378159814,8602
bear dte 45+,83103,21622,0.5135047636666359,-3.442161070810747,-1.1569764590198317,-0.15317324179249645,20892,0.5146946199502201,-5.71976324253732,-1.0941653692122328,0.1062425774419913,20140,0.5132075471698113,-14.348654959269442,-2.107729720162666,-0.4636825444773877,-3.941588285768836,10415,-6.984261186103454,10594,-27.48052936340039,11652,21.72141065792767,9240,-11.786104158915249,10415,-17.825406410855194,9842,-51.57333081737047,11614,36.358286797238335,8526
