symbol,direction,entry_date,entry_time_et,expiration,dte,short,long,width,opt,short_delta,credit,raw_mid,slip_leg,qty,spot,ivr,iv_used,regime,leadership,exit_date,exit_time_et,exit_cost,exit_reason,pnl
GOOGL,bullish,2025-05-14,10:55,2025-05-23,9,162.5,160.0,2.5,P,-0.3455,0.68,0.78,0.05,2,165.4047,19.6,0.3221,UP,CYCLICAL_LED,2025-05-21,08:30,0.55,time_exit_2dte,23.4
SPY,bullish,2025-05-16,10:25,2025-05-23,7,590,580,10,P,-0.3364,2.55,2.65,0.05,1,595.54085,7.5,0.1799,UP,CYCLICAL_LED,2025-05-21,08:30,2.785,time_exit_2dte,-24.8
META,bullish,2025-05-21,14:05,2025-05-30,9,620,610,10,P,-0.3044,2.61,2.76,0.075,1,637.3555,32.1,0.3794,UP,CYCLICAL_LED,2025-05-27,09:00,1.38,tp,121.7
QQQ,bullish,2025-05-21,10:15,2025-05-30,9,520,510,10,P,-0.1877,2.87,2.97,0.05,1,536.0288625000001,17.9,0.2308,UP,CYCLICAL_LED,2025-05-28,08:30,2.39,time_exit_2dte,46.7
GOOGL,bullish,2025-05-22,11:40,2025-05-30,8,170.0,167.5,2.5,P,-0.3209,0.66,0.76,0.05,2,173.3942,19.3,0.3175,UP,CYCLICAL_LED,2025-05-28,08:30,0.43,time_exit_2dte,43.4
META,bullish,2025-05-28,13:50,2025-06-06,9,630,620,10,P,-0.3179,2.67,2.82,0.075,1,645.5,20.0,0.3638,UP,CYCLICAL_LED,2025-06-02,08:30,1.35,tp,130.7
QQQ,bullish,2025-05-28,10:20,2025-06-06,9,520,510,10,P,-0.1984,3.125,3.225,0.05,1,535.0525925,16.7,0.2276,UP,CYCLICAL_LED,2025-06-03,09:55,1.555,tp,155.7
SPY,bullish,2025-05-30,11:00,2025-06-06,7,600,590,10,P,-0.217,6.525,6.625,0.05,1,610.93714,6.7,0.1775,UP,CYCLICAL_LED,2025-06-04,08:30,3.605,time_exit_2dte,290.7
META,bullish,2025-06-04,10:00,2025-06-13,9,670,660,10,P,-0.3404,2.51,2.66,0.075,1,682.47,1.7,0.3224,UP,CYCLICAL_LED,2025-06-06,08:35,1.15,tp,134.7
AAPL,bullish,2025-06-04,14:50,2025-06-13,9,200,195,5,P,-0.3438,1.25,1.35,0.05,1,203.35,28.3,0.2979,UP,CYCLICAL_LED,2025-06-11,08:30,0.695,time_exit_2dte,54.2
TSLA,bullish,2025-06-17,12:35,2025-06-27,10,305,300,5,P,-0.3023,1.3,1.4,0.05,1,319.405,3.3,0.6127,UP,CYCLICAL_LED,2025-06-23,08:30,0.6,tp,68.7
QQQ,bullish,2025-06-20,10:35,2025-06-27,7,530,520,10,P,-0.1565,3.475,3.575,0.05,1,543.6112875,8.3,0.1901,UP,CYCLICAL_LED,2025-06-24,08:30,1.175,tp,228.7
TSLA,bullish,2025-07-07,13:05,2025-07-18,11,280,275,5,P,-0.2956,1.35,1.45,0.05,1,293.5545,1.7,0.5748,UP,CYCLICAL_LED,2025-07-08,13:15,0.77,tp,56.7
GOOGL,bullish,2025-07-08,09:50,2025-07-18,10,172.5,170.0,2.5,P,-0.3407,0.67,0.77,0.05,2,175.7701,21.7,0.3144,UP,CYCLICAL_LED,2025-07-09,09:10,0.42,tp,47.4
TSLA,bullish,2025-07-09,11:35,2025-07-18,9,285,280,5,P,-0.3269,1.3,1.4,0.05,1,294.8515,0.0,0.5515,UP,CYCLICAL_LED,2025-07-10,08:35,0.68,tp,60.7
META,bullish,2025-07-07,10:20,2025-07-18,11,710,700,10,P,-0.3463,2.575,2.725,0.075,1,724.27,31.7,0.3343,UP,CYCLICAL_LED,2025-07-16,08:30,4.075,time_exit_2dte,-151.3
QQQ,bullish,2025-07-09,14:15,2025-07-18,9,560,550,10,P,-0.2306,4.03,4.13,0.05,1,571.253935,10.0,0.1852,UP,CYCLICAL_LED,2025-07-16,08:30,4.03,time_exit_2dte,-1.3
GOOGL,bullish,2025-07-15,09:30,2025-07-25,10,177.5,175.0,2.5,P,-0.2764,0.77,0.87,0.05,2,183.115,81.7,0.3463,UP,CYCLICAL_LED,2025-07-21,11:50,0.48,tp,55.4
