,AAPL,AMZN,GOOGL,IWM,META,MSFT,NVDA,QQQ,SPY,TSLA
2025-04-15,202.13999938964844,179.58999633789062,156.30999755859375,186.75999450683594,521.52001953125,385.7300109863281,112.19999694824219,457.989990234375,537.6099853515625,254.11000061035156
2025-04-16,194.27000427246094,174.3300018310547,153.3300018310547,184.97000122070312,502.30999755859375,371.6099853515625,104.48999786376953,444.17999267578125,525.6599731445312,241.5500030517578
2025-04-17,196.97999572753906,172.61000061035156,151.16000366210938,186.47999572753906,501.4800109863281,367.7799987792969,101.48999786376953,444.1000061035156,526.4099731445312,241.3699951171875
2025-04-21,193.16000366210938,167.32000732421875,147.6699981689453,182.74000549316406,484.6600036621094,359.1199951171875,96.91000366210938,433.1099853515625,513.8800048828125,227.5
2025-04-22,199.74000549316406,173.17999267578125,151.47000122070312,187.47000122070312,500.2799987792969,366.82000732421875,98.88999938964844,444.4800109863281,527.25,237.97000122070312
2025-04-23,204.60000610351562,180.60000610351562,155.35000610351562,190.25,520.27001953125,374.3900146484375,102.70999908447266,454.55999755859375,535.4199829101562,250.74000549316406
2025-04-24,208.3699951171875,186.5399932861328,159.27999877929688,194.05999755859375,533.1500244140625,387.29998779296875,106.43000030517578,467.3500061035156,546.6900024414062,259.510009765625
2025-04-25,209.27999877929688,188.99000549316406,161.9600067138672,194.1199951171875,547.27001953125,391.8500061035156,111.01000213623047,472.55999755859375,550.6400146484375,284.95001220703125
2025-04-28,210.13999938964844,187.6999969482422,160.61000061035156,194.94000244140625,549.739990234375,391.1600036621094,108.7300033569336,472.4100036621094,550.8499755859375,285.8800048828125
2025-04-29,211.2100067138672,187.38999938964844,160.16000366210938,196.08999633789062,554.4400024414062,394.0400085449219,109.0199966430664,475.5299987792969,554.3200073242188,292.0299987792969
2025-04-30,212.5,184.4199981689453,158.8000030517578,194.86000061035156,549.0,395.260009765625,108.91999816894531,475.4700012207031,554.5399780273438,282.1600036621094
2025-05-01,213.32000732421875,190.1999969482422,161.3000030517578,196.07000732421875,572.2100219726562,425.3999938964844,111.61000061035156,481.67999267578125,558.469970703125,280.5199890136719
2025-05-02,205.35000610351562,189.97999572753906,164.02999877929688,200.47999572753906,597.02001953125,435.2799987792969,114.5,488.8299865722656,566.760009765625,287.2099914550781
2025-05-05,198.88999938964844,186.35000610351562,164.2100067138672,198.94000244140625,599.27001953125,436.1700134277344,113.81999969482422,485.92999267578125,563.510009765625,280.260009765625
2025-05-06,198.50999450683594,185.00999450683594,163.22999572753906,196.77000427246094,587.3099975585938,433.30999755859375,113.54000091552734,481.4100036621094,558.7999877929688,275.3500061035156
2025-05-07,196.25,188.7100067138672,151.3800048828125,197.4199981689453,596.8099975585938,433.3500061035156,117.05999755859375,483.29998779296875,561.1500244140625,276.2200012207031
2025-05-08,197.49000549316406,192.0800018310547,154.27999877929688,201.17999267578125,598.010009765625,438.1700134277344,117.37000274658203,488.2900085449219,565.0599975585938,284.82000732421875
2025-05-09,198.52999877929688,193.05999755859375,152.75,200.80999755859375,592.489990234375,438.7300109863281,116.6500015258789,487.9700012207031,564.3400268554688,298.260009765625
2025-05-12,210.7899932861328,208.63999938964844,158.4600067138672,207.8699951171875,639.4299926757812,449.260009765625,123.0,507.8500061035156,582.989990234375,318.3800048828125
2025-05-13,212.92999267578125,211.3699951171875,159.52999877929688,208.6300048828125,656.030029296875,449.1400146484375,129.92999267578125,515.5900268554688,586.8400268554688,334.07000732421875
2025-05-14,212.3300018310547,210.25,165.3699951171875,206.77999877929688,659.3599853515625,452.94000244140625,135.33999633789062,518.6799926757812,587.5900268554688,347.67999267578125
2025-05-15,211.4499969482422,205.1699981689453,163.9600067138672,208.1300048828125,643.8800048828125,453.1300048828125,134.8300018310547,519.25,590.4600219726562,342.82000732421875
2025-05-16,211.25999450683594,205.58999633789062,166.19000244140625,209.85000610351562,640.3400268554688,454.2699890136719,135.39999389648438,521.510009765625,594.2000122070312,349.9800109863281
2025-05-19,208.77999877929688,206.16000366210938,166.5399932861328,208.97000122070312,640.4299926757812,458.8699951171875,135.57000732421875,522.010009765625,594.8499755859375,342.0899963378906
2025-05-20,206.86000061035156,204.07000732421875,163.97999572753906,209.0800018310547,637.0999755859375,458.1700134277344,134.3800048828125,520.27001953125,592.8499755859375,343.82000732421875
2025-05-21,202.08999633789062,201.1199951171875,168.55999755859375,203.2100067138672,635.5,452.57000732421875,131.8000030517578,513.0399780273438,582.8599853515625,334.6199951171875
