Date,Symbol,Type,Premium,Spot Price,Strike Price,Price,Bid,Ask,Contracts,Open Interest,Order Type,Expiring,Golden Sweep,Highly Unusual,Unusual,Aggressive,Sales Flow,Bid/Ask,Delta,IV,ExpiryDate,BidAskSpread,ExpiresInDays
2025-03-07 16:34:52,TSLA,CALL,100314.0,254.9628,260,9.2031,9.2,9.3,109,5752,Sweep,,FALSE,FALSE,FALSE,FALSE,TRUE,TB,0.4568,0.7944,2025-03-14,0.1,7
2025-03-07 16:34:51,AMZN,PUT,502180.0,194.295,215,21.1,21.1,21.2,238,11217,Sweep,,FALSE,FALSE,FALSE,FALSE,TRUE,B,-0.9104,0.3821,2025-03-21,0.1,14
2025-03-07 16:34:48,IWM,PUT,1507750.0,202.72,193,3.7,3.66,3.7,4075,2443,Sweep,,TRUE,FALSE,FALSE,FALSE,FALSE,A,-0.2856,0.2935,2025-04-17,0.04,41
2025-03-07 16:34:46,SPY,PUT,556870.0,567.64,570,23.9,23.89,23.9,233,6119,Sweep,,FALSE,FALSE,FALSE,FALSE,FALSE,A,-0.4699,0.1862,2025-07-18,0.01,133
2025-03-07 16:34:39,AMZN,CALL,106480.0,194.1897,185,19.36,19.2,19.45,55,398,Sweep,,FALSE,FALSE,FALSE,FALSE,FALSE,TA,0.6637,0.3977,2025-05-16,0.25,70
2025-03-07 16:34:38,NFLX,PUT,282460.0,864.9547,850,2.9,2.64,2.9,974,790,Block,,FALSE,FALSE,FALSE,FALSE,FALSE,A,-0.2331,1.0269,2025-03-07,0.26,0
2025-03-07 16:34:38,AMZN,PUT,93240.0,194.1813,192.5,0.7,0.69,0.7,1332,7543,Sweep,,FALSE,FALSE,FALSE,FALSE,FALSE,A,-0.3103,0.7551,2025-03-07,0.01,0
2025-03-07 16:34:38,SPY,PUT,4316313.0,567.7263,580,28.101,28.07,28.1,1536,7680,Sweep,,FALSE,FALSE,FALSE,FALSE,FALSE,AA,-0.5407,0.1774,2025-07-18,0.03,133
2025-03-07 16:34:34,SPX,CALL,57340.0,5688.1101,5770,4.9009,4.9,5.1,117,828,Sweep,,FALSE,FALSE,FALSE,FALSE,TRUE,TB,0.134,0.5711,2025-03-07,0.2,0
2025-03-07 16:34:34,SPY,PUT,140855.0,567.7754,560,2.8171,2.82,2.84,500,2415,Sweep,,FALSE,FALSE,FALSE,FALSE,TRUE,BB,-0.2941,0.2491,2025-03-11,0.02,4
2025-03-07 16:34:31,AMZN,PUT,422000.0,194.3113,215,21.1,20.95,21.1,200,11217,Sweep,,FALSE,FALSE,FALSE,FALSE,FALSE,A,-0.9085,0.3845,2025-03-21,0.15,14
2025-03-07 16:34:26,QQQ,PUT,275988.0,483.29,450,6.54,6.53,6.61,422,18764,Sweep,,FALSE,FALSE,FALSE,FALSE,TRUE,TB,-0.2199,0.3077,2025-04-17,0.08,41
2025-03-07 16:34:21,IWM,PUT,591000.0,202.83,194,1.97,1.97,2,3000,19889,Sweep,,FALSE,FALSE,FALSE,FALSE,TRUE,B,-0.2439,0.334,2025-03-21,0.03,14
2025-03-07 16:34:17,AMZN,CALL,107800.0,194.435,185,19.6,19.35,19.6,55,398,Sweep,,FALSE,FALSE,FALSE,FALSE,FALSE,A,0.6658,0.4002,2025-05-16,0.25,70
2025-03-07 16:34:07,NVDA,CALL,120000.0,109.8098,125,9.6,9.6,9.7,125,10816,Sweep,,FALSE,FALSE,FALSE,FALSE,TRUE,B,0.4359,0.4909,2025-08-15,0.1,161
