date,regime,leadership
2026-02-20,DOWN,DEFENSIVE_LED
2026-02-23,UP,DEFENSIVE_LED
2026-02-24,DOWN,DEFENSIVE_LED
2026-02-25,CHOP,DEFENSIVE_LED
2026-02-26,UP,DEFENSIVE_LED
2026-02-27,UP,DEFENSIVE_LED
2026-03-02,DOWN,DEFENSIVE_LED
2026-03-03,DOWN,DEFENSIVE_LED
2026-03-04,DOWN,DEFENSIVE_LED
2026-03-05,DOWN,DEFENSIVE_LED
2026-03-06,DOWN,DEFENSIVE_LED
2026-03-09,DOWN,DEFENSIVE_LED
2026-03-10,DOWN,DEFENSIVE_LED
2026-03-11,DOWN,DEFENSIVE_LED
2026-03-12,DOWN,DEFENSIVE_LED
2026-03-13,DOWN,DEFENSIVE_LED
