ticker,open_date,strategy,pnl,win,is_credit,is_bull,width,credit,dte,hold_days,hour,credit_to_width,spot,otm_cushion,cushion_atr,name_vs_sma20,name_vs_sma50,rsi,ret5,rv10,spy_vs_sma20,spy_uptrend,vix,vix_pct,held_through_earnings,days_to_earnings,weekday,max_profit,max_loss,rr,concurrent_open
GLD,2026-04-10,bear_call_spread,-149.49,0,True,False,4.0,,7,5,,,437.1300048828125,-0.004872703449820426,-0.1884245688711792,0.018239001465416127,-0.03113797977029975,62.38655788532121,0.017978158764037078,0.27834647787963945,0.03234886741948939,1,19.229999542236328,0.5984848484848485,0,,Friday,,,,4
IWM,2026-04-10,bear_call_spread,-148.0,0,True,False,3.0,,7,5,,,261.29998779296875,-0.020283153618698202,-0.9356854325464119,0.04572699847267092,0.019185451534108333,71.28512210433715,0.039834433420665505,0.26302245046313294,0.03234886741948939,1,19.229999542236328,0.5984848484848485,0,,Friday,,,,4
PLTR,2026-04-14,bull_put_spread,27.52,1,True,True,3.0,0.55,10,2,13.0,0.18333333333333335,135.6999969482422,0.042004399973687864,0.7205477781731244,-0.0704110720617308,-0.05584764276812704,34.314382462393084,-0.09575537865424955,0.6633268977486114,0.05120713716022807,1,18.360000610351562,0.5298507462686567,0,20.0,Tuesday,55.00000000000001,245.00000000000003,4.454545454545454,3
AAPL,2026-04-15,bull_put_spread,34.52,1,True,True,2.5,0.64,5,2,18.0,0.256,266.42999267578125,0.014750564064923649,0.6297345787432811,0.04626159951875497,0.021543527843750354,67.10429733536029,0.029084584614967435,0.2212629210315647,0.057169851778144265,1,18.170000076293945,0.5185185185185185,0,15.0,Wednesday,64.0,186.0,2.90625,4
SNOW,2026-04-15,bull_put_spread,31.52,1,True,True,3.0,0.61,9,5,19.0,0.20333333333333334,144.47999572753906,0.058693216904094264,0.876970736269798,-0.0536947405709558,-0.1242384042081629,39.123389852272624,-0.036735846148603035,1.029949689044211,0.057169851778144265,1,18.170000076293945,0.5185185185185185,0,42.0,Wednesday,61.0,239.0,3.918032786885246,4
ORCL,2026-04-16,bull_put_spread,33.52,1,True,True,2.5,0.64,8,5,15.0,0.256,178.33999633789062,0.04676458735644084,1.040455919947232,0.19381602423061373,0.18105020249687254,77.19270586630566,0.2936311877870361,0.7470157234308764,0.05655770688831696,1,17.940000534057617,0.5,0,55.0,Thursday,64.0,186.0,2.90625,3
DIA,2026-04-17,bull_call_spread,49.51,1,False,True,7.0,3.48,7,3,13.0,,494.2200012207031,,,0.050994115014803665,0.030541752952139012,90.95432163540299,0.031236309276375884,0.16037642305459623,0.0652893838860924,1,17.479999542236328,0.44525547445255476,0,,Friday,,,,3
AAPL,2026-04-20,bull_put_spread,34.52,1,True,True,2.5,0.75,7,3,15.0,0.3,273.04998779296875,0.01117007115664588,0.4896770420621208,0.05981621367419532,0.048147570354223346,78.39639561627588,0.0534335452687984,0.2602994644625687,0.05838417085980896,1,18.8700008392334,0.572463768115942,0,10.0,Monday,75.0,175.0,2.3333333333333335,3
AVGO,2026-04-20,bull_call_spread,-59.54,0,False,True,5.0,2.26,7,2,18.0,,399.6300048828125,,,0.16035744171564814,0.19217733587662522,94.15530524555766,0.052350243272712316,0.39736736968606384,0.05838417085980896,1,18.8700008392334,0.572463768115942,0,44.0,Monday,,,,3
WMT,2026-04-20,bull_put_spread,26.52,1,True,True,2.0,0.53,4,1,18.0,0.265,127.91999816894531,0.007191980785758463,0.32159727665929766,0.02488911816434425,0.018249189813557498,59.72710159109027,0.026892498051922953,0.33459147550375423,0.05838417085980896,1,18.8700008392334,0.572463768115942,0,31.0,Monday,53.0,147.0,2.7735849056603774,3
