ticker,open_date,strategy,pnl,win,F2_credit_width,E6_cushion_atr,E2_dte,D1_earnings,AB_trend_align,B2_rsi,A2_vix,F3_rr,I3_concurrency,F1_structure,factor_score
IWM,2026-04-06,bear_call_spread,-314.97,0,1,-1,1,1,-1,1,1,1,0,0,4
PLTR,2026-04-06,bear_call_spread,83.06,1,1,-1,1,1,1,1,1,1,0,0,6
SMH,2026-04-06,bull_put_spread,54.51,1,0,0,0,1,1,1,1,0,0,0,4
AAPL,2026-04-07,bear_call_spread,-333.48,0,1,-1,1,1,-1,1,0,1,0,0,3
GLD,2026-04-07,bear_call_spread,-230.48,0,1,-1,1,1,1,1,0,1,0,0,5
GLD,2026-04-10,bear_call_spread,-149.49,0,0,-1,1,1,-1,1,1,0,0,0,2
IWM,2026-04-10,bear_call_spread,-148.0,0,0,-1,1,1,-1,1,1,0,0,0,2
PLTR,2026-04-14,bull_put_spread,27.52,1,0,-1,1,1,-1,1,1,0,1,0,3
AAPL,2026-04-15,bull_put_spread,34.52,1,1,-1,1,1,1,1,1,1,0,0,6
SNOW,2026-04-15,bull_put_spread,31.52,1,0,-1,1,1,-1,1,1,0,0,0,2
ORCL,2026-04-16,bull_put_spread,33.52,1,1,0,1,1,1,0,1,1,1,0,7
DIA,2026-04-17,bull_call_spread,49.51,1,0,0,1,1,1,-1,0,0,1,-1,2
AAPL,2026-04-20,bull_put_spread,34.52,1,1,-1,1,1,1,-1,1,1,1,0,5
AVGO,2026-04-20,bull_call_spread,-59.54,0,0,0,1,1,1,-1,0,0,1,-1,2
WMT,2026-04-20,bull_put_spread,26.52,1,1,-1,1,1,1,1,1,1,1,0,7
GLD,2026-04-21,bull_put_spread,-166.48,0,1,-1,1,1,-1,1,1,1,0,0,4
JNJ,2026-04-21,bull_call_spread,-15.96,0,0,0,1,1,-1,1,0,0,0,-1,1
NVDA,2026-04-21,bull_put_spread,30.52,1,1,-1,1,1,1,-1,1,1,0,0,4
COIN,2026-04-23,bull_put_spread,-38.48,0,0,-1,1,1,1,1,1,0,0,0,4
NVDA,2026-04-23,bull_put_spread,30.52,1,1,-1,1,1,1,-1,1,1,0,0,4
WMT,2026-04-24,bull_put_spread,-74.48,0,1,-1,1,1,1,1,1,1,0,0,6
GLD,2026-04-27,bull_put_spread,-44.48,0,0,-1,1,1,-1,1,1,0,0,0,2
GLD,2026-04-27,bear_put_spread,-44.48,0,0,0,1,1,1,1,0,0,0,-1,3
NVDA,2026-04-27,bull_put_spread,60.76,1,0,1,1,1,1,-1,1,0,0,0,4
PLTR,2026-04-27,bull_put_spread,-60.48,0,1,-1,1,1,1,1,1,1,0,0,6
UNH,2026-04-29,bull_put_spread,-77.48,0,1,-1,1,1,1,-1,1,1,1,0,5
WFC,2026-04-29,bull_put_spread,25.52,1,1,-1,1,1,-1,1,1,1,1,0,5
XLV,2026-04-29,bull_call_spread,-10.96,0,0,0,1,1,-1,1,0,0,1,-1,2
XLV,2026-04-29,bear_call_spread,-10.96,0,0,-1,1,1,1,0,1,0,1,0,4
JNJ,2026-05-01,bull_call_spread,-104.48,0,0,0,1,1,-1,1,0,0,1,-1,2
